,Chirp_corr,ChirpCorr_Angle,ChirpCorr_distance,ChirpCorr_ExpDate,type
0,0.68942714,0.0,7.405013,20161215,0.0
1,0.694676,98.130104,4.4268084,20161215,0.0
2,0.6396836,8.471031,22.921427,20161215,0.0
3,0.54168165,5.4941325,4.151356,20161215,0.0
4,0.5096921,73.07249,28.281036,20161215,0.0
5,0.62030613,66.80141,5.680958,20161215,0.0
6,0.6354433,13.901905,18.33777,20161215,0.0
7,0.6162035,63.635094,11.319162,20161215,0.0
8,0.6299827,7.0850897,36.396946,20161215,0.0
9,0.54889375,69.02641,16.41097,20161215,0.0
10,0.5032268,63.830765,10.891369,20161215,0.0
11,0.5498725,5.8033414,33.186043,20161215,0.0
12,0.5065319,4.1232557,27.039686,20161215,0.0
13,0.4557754,54.472706,215.05603,20161215,0.0
14,0.48749253,56.509705,204.64503,20161215,0.0
15,0.4542672,63.417652,87.50777,20161215,0.0
16,0.41989642,70.80655,78.94909,20161215,0.0
17,0.3978479,71.4488,71.58683,20161215,0.0
18,0.28674194,72.70709,76.678635,20161215,0.0
19,0.37087244,66.47338,82.81001,20161215,0.0
20,0.38116616,63.303112,92.79918,20161215,0.0
21,0.3460543,145.25911,147.63838,20161215,0.0
22,0.3424248,149.52728,121.595505,20161215,0.0
23,0.35268885,146.33702,141.68196,20161215,0.0
24,0.40797955,151.26468,128.17416,20161215,0.0
25,0.32887018,148.39009,133.97372,20161215,0.0
26,0.38802004,145.25066,162.16844,20161215,0.0
27,0.044212237,91.418526,110.579544,20161215,0.0
28,0.053014237,60.192764,105.73541,20161215,0.0
29,-0.03433593,37.35349,297.7883,20161215,0.0
30,-0.107685424,68.5923,98.58827,20161215,0.0
31,0.65165174,0.0,2.9782047,20161215,0.0
32,0.6154962,0.0,30.32644,20161215,0.0
33,0.5004959,0.0,11.556369,20161215,0.0
34,0.4625338,0.0,33.805145,20161215,0.0
35,0.6010353,0.0,11.205067,20161215,0.0
36,0.57785285,0.0,25.742785,20161215,0.0
37,0.5772991,0.0,16.843271,20161215,0.0
38,0.5863471,0.0,43.80196,20161215,0.0
39,0.5390061,0.0,21.93508,20161215,0.0
40,0.47778687,0.0,3.4863563,20161215,0.0
41,0.4946893,0.0,40.591057,20161215,0.0
42,0.49759516,0.0,34.4447,20161215,0.0
43,0.4110879,56.022694,207.65102,20161215,0.0
44,0.46546453,57.99967,197.24002,20161215,0.0
45,0.36957863,62.503338,80.10275,20161215,0.0
46,0.33507293,69.83795,71.544075,20161215,0.0
47,0.33886534,70.437706,64.181816,20161215,0.0
48,0.25554758,71.72219,69.27362,20161215,0.0
49,0.32883886,65.50128,75.405,20161215,0.0
50,0.30937287,62.404984,85.394165,20161215,0.0
51,0.30285397,0.0,155.04338,20161215,0.0
52,0.3163112,0.0,129.00052,20161215,0.0
53,0.28826088,0.0,149.08698,20161215,0.0
54,0.37246957,0.0,135.57918,20161215,0.0
55,0.2747232,0.0,141.37874,20161215,0.0
56,0.33819756,0.0,169.57346,20161215,0.0
57,0.041446198,91.72532,103.17453,20161215,0.0
58,0.06047868,60.47166,98.3304,20161215,0.0
59,0.010748408,39.225655,290.3833,20161215,0.0
60,-0.08568991,0.0,104.11238,20161215,0.0
61,0.5842331,149.97287,27.348236,20161215,0.0
62,0.46997535,109.44003,8.578164,20161215,0.0
63,0.44341162,171.20259,30.82694,20161215,0.0
64,0.5861959,164.93152,8.226862,20161215,0.0
