,cell_id,rec_id,roi_id,cell_type,angles_btw_RFcenter_and_DensityCenter,angles_btw_RFcenter_and_SomaPos,dendritic_distance_to_soma,euclidean_distance_to_density_center,offset
0,20161028_1,0,0,0,12.168058919359812,,0,28.253028231003245,12.809315280829894
1,20161028_1,1,1,0,57.242366593736286,153.01509992203648,46.63996726166947,10.239495002838181,11.226635020973953
2,20161028_1,1,2,0,26.400604951704075,163.05308203565053,34.98446195578051,10.437047176920442,6.573384588091819
3,20161028_1,1,3,0,31.982507996645158,148.399177643427,43.31496715438108,10.32209280886583,11.440616208061401
4,20161028_1,1,4,0,53.496871041271866,63.639659378892034,69.87514348847546,10.754420950070584,5.762906278966622
5,20161028_1,1,5,0,37.61044241798646,54.438257053694905,56.582474320376434,4.701533386515979,15.114135885488505
6,20161028_1,1,6,0,154.40421606350927,138.01841879970857,55.9213932735205,6.756326165848039,11.537560063214901
7,20161028_1,1,7,0,51.612557251150946,94.34778161714306,47.880526652814154,2.5883057117968935,15.702069674656718
8,20161028_1,1,8,0,98.03712548375077,99.28337115471678,74.19832450542981,14.192356118510354,8.606542281697743
9,20161028_1,1,9,0,103.23536932941187,103.9036961110852,80.69068644396725,18.98286102466186,10.18741855640679
10,20161028_1,1,10,0,14.207114188911751,149.64309377264792,39.84357900670953,10.525078214005438,12.164300242840353
11,20161028_1,1,11,0,176.84360442231298,138.01123559074412,59.132297415083514,6.4362214663019275,9.182888069201116
12,20161028_1,1,12,0,169.98305502306783,81.4501479520396,50.90541941828164,8.594830542441304,6.863706920030731
13,20161028_1,1,13,0,68.5948384597024,71.10648895481305,91.54899023804342,27.794363640436107,6.846421740522211
14,20161028_1,1,14,0,169.51032060775086,168.70509008973266,69.61465948236692,10.484285826220816,3.049021638650608
15,20161028_1,1,15,0,74.12187409735877,65.02358005081604,65.97144650862789,8.038286047758993,2.5531381695257416
16,20161028_1,1,16,0,82.06798646018377,84.11769685726206,84.60935144557233,22.180884936520687,8.606744002327831
17,20161028_1,1,17,0,43.72299517468402,46.05540202878918,87.86301642571993,24.985978124906122,13.965637402581159
18,20161028_1,1,18,0,109.16374444064644,65.26682500439085,41.88133990966698,6.862920865809419,11.66194085974421
19,20161028_1,1,19,0,46.9844545262327,56.110191823021445,74.18335648367217,14.335162332935504,9.323929143756287
20,20161028_1,1,20,0,159.44053350988284,159.1504226885539,77.00471263164368,16.20293549380876,15.566515463480401
21,20161028_1,1,21,0,50.24058243022692,52.41578109434868,94.09489435814875,30.17955598109335,18.937737387962674
22,20161028_1,1,22,0,77.85845123724496,114.86935629552043,61.273685519839745,7.542238303415566,4.065519602973315
23,20161028_1,2,1,0,24.442245760671106,15.041932604558609,140.3277815810672,77.23162926748451,22.020996660702068
24,20161028_1,2,2,0,10.949519332908167,26.174171516657047,109.06534500035363,53.45890494070956,13.290977942859788
25,20161028_1,2,3,0,30.23541570660687,47.210972393427106,103.8594407944176,49.15977443417936,11.16177736529352
26,20161028_1,2,4,0,7.268262376797467,3.632595235877021,129.61272832450211,68.69802164123244,26.42202393208116
27,20161028_1,2,5,0,11.498794822194021,29.84008476339607,99.72305262528837,46.08297134303302,11.303113846499203
28,20161028_1,2,6,0,18.896209107065662,6.770796751494358,120.50312713871853,61.44663433524697,8.150195466854882
30,20161028_1,2,8,0,20.264427023721787,10.050681952715566,133.92094131969878,71.95268382974841,38.08165747990325
31,20161028_1,2,9,0,17.53505739580428,2.1142683122948656,95.86211648402531,42.8706463829779,18.30710162748431
