,exp_date,recording_id,roi_id,type,dendritic_distance_to_soma,euclidean_distance_to_density_center,sRF_asd_upsampled_cntr_size_60,cntrs_offset_calibrate_to_rois_60,cntr_quality_60,sRF_asd_upsampled_cntr_size_65,cntrs_offset_calibrate_to_rois_65,cntr_quality_65,sRF_asd_upsampled_cntr_size_70,cntrs_offset_calibrate_to_rois_70,cntr_quality_70,cntr_quality
24,20161028_1,2,2,0,109.0653450004,53.4589049407,10.844631618,13.1773864252,1,8.9512412223,13.2909779429,1,7.2810373302,13.5792571226,1,1
25,20161028_1,2,3,0,103.8594407944,49.1597744342,9.0096192566,11.8121769058,1,7.4290331318,11.1617773653,1,6.0472385033,10.7185421632,1,1
26,20161028_1,2,4,0,129.6127283245,68.6980216412,15.5121314295,28.9172720256,1,12.9751184912,26.4220239321,1,10.62662511,24.4729230419,1,1
27,20161028_1,2,5,0,99.7230526253,46.082971343,10.2051625655,12.2413766449,1,8.4483980987,11.3031138465,1,6.8891117362,10.5748965072,1,1
28,20161028_1,2,6,0,120.5031271387,61.4466343352,9.9272899765,9.1610960276,1,8.1731804298,8.1501954669,1,6.6464028287,7.9125932526,1,1
29,20161028_1,2,7,0,120.4160970508,39.4965639656,14.2996274403,0,0,10.4768623355,0,0,5.9920197573,20.7424689239,1,0
30,20161028_1,2,8,0,133.9209413197,71.9526838297,15.7429166437,38.9552269063,1,13.2136093404,38.0816574799,1,10.8977287024,37.479204031,1,1
31,20161028_1,2,9,0,95.862116484,42.870646383,14.4751216313,18.5884892371,1,12.0019119713,18.3071016275,1,9.797666238,18.3303347039,1,1
32,20161028_1,2,10,0,126.9527282387,66.0430929612,11.5126147882,20.352248397,1,9.5815605124,19.7846152633,1,7.8554617521,19.8321646601,1,1
33,20161028_1,2,11,0,112.5517011698,55.7762669346,13.5376415443,11.6587061431,1,10.8928116864,7.7317579029,1,8.6544719758,6.0577577852,1,1
34,20161028_1,2,12,0,116.1949141435,58.2578839571,9.5416955594,5.3119021761,1,7.8309311325,4.6602577013,1,6.3470741653,4.638054584,1,1
35,20161028_1,2,13,0,127.6177282601,66.9252431935,19.2988435632,41.2230459308,1,12.8569604296,32.6509259516,1,8.9356002368,23.3326439068,1,1
36,20161028_1,2,14,0,135.5263933905,73.2590320944,20.0784655991,0,0,15.76224666,0,0,9.9984799927,19.7087568074,1,0
37,20161028_1,2,15,0,142.8587176794,79.2262637911,13.8879537148,35.0435720092,1,11.1259319802,32.2032351242,1,8.7229974819,29.3494760701,1,1
38,20161028_1,3,1,0,73.3641686351,55.133840822,8.4595973616,9.2000642493,1,7.0929677913,8.2714994764,1,5.844767448,6.9859055853,1,1
39,20161028_1,3,2,0,82.0842218273,62.2755626636,8.4924494651,11.074228326,1,7.0968366982,10.4087949881,1,5.8332530006,9.4338277624,1,1
40,20161028_1,3,3,0,43.9676681313,33.9630609035,15.6445996632,10.0167933317,1,12.334339626,5.9536251047,1,9.7184645077,3.9362567931,1,1
41,20161028_1,3,4,0,79.3205945397,54.5202743604,8.4426585208,7.8544285095,1,7.0548661693,7.3680985463,1,5.7978926505,6.2826408989,1,1
42,20161028_1,3,5,0,51.8763332616,39.9365006015,9.346973118,8.4393059224,1,7.7687717702,6.8234807733,1,6.3516622686,5.3143382124,1,1
43,20161028_1,3,6,0,86.1169827946,65.0089653121,9.2139754,11.1427385354,1,7.6667215591,9.7883307987,1,6.2788967495,8.0052149476,1,1
44,20161028_1,3,7,0,90.8147437834,68.9306545552,9.9597976047,16.0200137138,1,8.289115585,14.1908478892,1,6.7848403794,12.063137868,1,1
45,20161028_1,3,8,0,55.7522374247,42.0928190639,10.2165401615,6.5079979734,1,8.4311039951,5.1746058059,1,6.8566419021,3.8641220368,1,1
46,20161028_1,3,9,0,46.3522161893,38.309091368,10.6024957425,7.4109535166,1,8.733693122,6.0581580022,1,7.0918808974,4.5338985057,1,1
47,20161028_1,3,10,0,66.912758437,59.3019343691,7.8182612957,8.5332520902,1,6.5112254141,7.5364381478,1,5.3362740543,6.1606360661,1,1
48,20161028_1,3,11,0,40.4813119619,33.4560391154,23.2946245313,30.0994724179,1,19.5777786618,28.9960889152,1,16.0288104698,26.7083005055,1,1
49,20161028_1,3,12,0,58.6876895384,44.1302296521,15.7287317495,12.9994882275,1,12.6942553769,10.8222398805,1,10.1541112077,8.5512755987,1,1
50,20161028_1,3,13,0,42.3622160605,34.3915955455,18.4758015191,12.8434832179,1,15.5112312708,11.9166392315,1,12.8029456069,10.473585454,1,1
51,20161028_1,3,14,0,66.4672906812,49.4939532391,11.4485506116,5.8744775411,1,9.2663228148,3.3182720252,1,7.4122987455,1.512669792,1,1
52,20161028_1,3,15,0,69.4455036335,51.8675449257,12.9694642512,4.9060674955,1,10.587568446,5.7296478257,1,8.5451343802,7.1284163634,1,1
53,20161028_1,3,16,0,43.6922161034,36.3057648638,9.9438815651,5.0435260643,1,8.0359971635,5.7115979574,1,6.4422384923,5.56413522,1,1
54,20161028_1,3,17,0,89.5883709423,65.8684625005,9.4417775998,15.9588391312,1,7.7462080522,15.2445413962,1,6.2815600662,14.4468900237,1,1
55,20161028_1,4,1,0,35.1140516938,28.2778999672,13.9257315566,8.004350265,1,11.4478610699,6.7748135976,1,9.2940109684,6.7676929337,1,1
56,20161028_1,4,2,0,38.2231589142,11.238913241,13.071988059,5.0205243957,1,11.0218690941,5.3202252678,1,9.1228785695,5.3274300022,1,1
57,20161028_1,4,3,0,27.0012696627,23.1380189173,14.412820395,11.6471073126,1,12.0962949224,11.4644392026,1,9.9939938986,11.0850632391,1,1
58,20161028_1,4,4,0,38.8758598911,32.0396461309,11.3204768242,7.724262438,1,9.4712831376,6.9743722101,1,7.7941357592,5.8560384399,1,1
59,20161028_1,4,5,0,45.6872161678,37.8006656897,11.296730269,12.023432416,1,9.3727240037,12.0197180011,1,7.6541203774,11.9081289088,1,1
60,20161028_1,4,6,0,36.8335997303,25.4294459539,11.3779678804,10.7164196254,1,9.5210200219,10.6146495095,1,7.8326520653,10.1551609282,1,1
61,20161028_1,4,7,0,35.4595316265,12.7426986698,13.6436174718,5.2449155235,1,11.6135721404,5.1476153896,1,9.7111760703,5.3324268348,1,1
62,20161028_1,4,8,0,27.317126498,14.5841096814,14.7963712475,7.4658268208,1,12.2552630638,6.3250045639,1,9.9741601466,4.8323450489,1,1
63,20161028_1,4,9,0,41.8236110493,11.2333116502,12.2994280081,3.8280032984,1,9.7423076011,9.69397781,1,7.6841234755,13.9867914884,1,1
64,20161028_1,4,10,0,33.379009885,11.0949397969,15.9645638445,2.7421792984,1,13.2737240456,2.0336603231,1,10.8768860578,2.3851353654,1,1
65,20161028_1,4,11,0,59.6281415877,44.433498679,8.9303314797,1.4533989188,1,7.2691590446,4.7078096026,1,5.8910792319,7.637526861,1,1
66,20161028_1,4,12,0,39.8435790067,10.525078214,15.6630206249,2.9057506158,1,13.2007930654,2.9001132897,1,10.932224428,2.6874228217,1,1
67,20161028_1,4,13,0,53.4817853324,40.7055410311,11.3184354317,9.4563254716,1,9.3324517344,8.1922090637,1,7.5805530468,6.4584902555,1,1
