,Chirp_corr,ChirpCorr_Angle,ChirpCorr_distance,ChirpCorr_ExpDate,type
121,0.25451428,71.438614,279.0686,20161215,0.0
122,0.18411426,69.85831,255.6016,20161215,0.0
123,0.2650087,71.04275,274.0954,20161215,0.0
124,0.17390215,71.09459,264.23532,20161215,0.0
125,0.18661872,71.02086,268.31082,20161215,0.0
126,0.16090009,70.928185,276.36584,20161215,0.0
127,0.10670005,73.873474,151.7757,20161215,0.0
128,0.04804818,77.954475,144.60338,20161215,0.0
129,0.03177,37.786064,179.81041,20161215,0.0
130,0.05882352,79.25041,142.05748,20161215,0.0
131,0.033819314,63.712437,162.44484,20161215,0.0
132,0.09022784,43.69105,157.48346,20161215,0.0
133,0.015752131,80.99683,138.31064,20161215,0.0
134,0.018842576,64.64064,165.14758,20161215,0.0
135,0.041446198,91.72532,103.17453,20161215,0.0
136,0.06047868,60.47166,98.3304,20161215,0.0
137,0.06266993,0.0,24.769234,20161215,0.0
138,0.017507175,0.0,30.986118,20161215,0.0
139,0.04615334,54.751724,49.11582,20161215,0.0
140,0.010748408,39.225655,290.3833,20161215,0.0
141,-0.030189766,38.54466,295.31375,20161215,0.0
142,-0.03579902,37.716427,299.7106,20161215,0.0
143,-0.032012574,33.149548,322.87302,20161215,0.0
144,0.0019523067,34.66652,315.6871,20161215,0.0
145,-0.008869087,39.17172,281.92374,20161215,0.0
146,0.011115142,38.68079,287.44785,20161215,0.0
147,-0.045633264,0.0,123.665504,20161215,0.0
148,-0.02679917,0.0,110.966484,20161215,0.0
149,-0.060457215,0.0,97.10142,20161215,0.0
150,-0.08568991,0.0,104.11238,20161215,0.0
151,-0.077025205,0.0,93.45821,20161215,0.0
152,-0.11079403,0.0,109.08558,20161215,0.0
153,-0.037920468,0.0,116.14639,20161215,0.0
154,-0.059192594,0.0,121.6705,20161215,0.0
155,-0.053540874,0.0,125.93596,20161215,0.0
156,-0.027722484,0.0,111.90694,20161215,0.0
157,0.5842331,149.97287,27.348236,20161215,0.0
158,0.46997535,109.44003,8.578164,20161215,0.0
159,0.44341162,171.20259,30.82694,20161215,0.0
160,0.5861959,164.93152,8.226862,20161215,0.0
161,0.42672995,158.83752,45.36466,20161215,0.0
162,0.58498687,137.78929,22.76458,20161215,0.0
163,0.5776369,160.39867,13.865067,20161215,0.0
164,0.5669882,158.41106,40.823753,20161215,0.0
165,0.45196062,174.09386,27.22649,20161215,0.0
166,0.4973981,166.38618,18.956875,20161215,0.0
167,0.5148609,72.11095,6.464561,20161215,0.0
168,0.4735524,157.05501,37.61285,20161215,0.0
169,0.5050259,155.0546,31.466494,20161215,0.0
170,0.4421405,54.991962,210.62921,20161215,0.0
171,0.47452646,56.971046,200.21822,20161215,0.0
172,0.43600622,50.87195,221.9334,20161215,0.0
173,0.41504,63.540432,83.08096,20161215,0.0
174,0.3830067,70.825066,74.52228,20161215,0.0
175,0.19628294,67.21204,97.903786,20161215,0.0
176,0.37685066,71.382835,67.16002,20161215,0.0
177,0.13390452,72.73073,84.701385,20161215,0.0
178,0.27653039,72.69322,72.25183,20161215,0.0
179,0.33660942,66.48637,78.38321,20161215,0.0
180,0.25153333,76.18451,91.629166,20161215,0.0
181,0.24781945,75.25087,88.56232,20161215,0.0
182,0.18184161,68.09588,100.88199,20161215,0.0
183,0.34451982,63.45529,88.37237,20161215,0.0
184,0.19351254,52.048523,219.88933,20161215,0.0
185,0.16508894,68.38432,108.590225,20161215,0.0
186,0.14628582,77.212135,102.93786,20161215,0.0
187,0.2943152,135.99477,152.06519,20161215,0.0
188,0.30055755,140.98874,126.022316,20161215,0.0
189,0.27466276,137.1869,146.10878,20161215,0.0
190,0.40160668,141.50041,132.60097,20161215,0.0
191,0.304477,139.23497,138.40053,20161215,0.0
192,0.2860145,138.19687,143.28741,20161215,0.0
193,0.3286036,135.08862,166.59525,20161215,0.0
194,0.27388433,135.12543,155.98384,20161215,0.0
195,0.269199,133.06262,176.38481,20161215,0.0
196,0.2028194,141.46555,128.95776,20161215,0.0
197,0.2623203,135.22983,163.65979,20161215,0.0
198,0.27879483,70.409065,282.0468,20161215,0.0
199,0.21681406,68.82983,258.5798,20161215,0.0
200,0.24484293,70.014046,277.0736,20161215,0.0
201,0.19464406,70.06582,267.21353,20161215,0.0
202,0.19943579,69.99281,271.28903,20161215,0.0
203,0.17866914,69.89914,279.34406,20161215,0.0
204,0.11683112,72.8798,154.75389,20161215,0.0
205,0.035981353,76.968,147.58159,20161215,0.0
206,0.049775872,36.757217,182.78862,20161215,0.0
207,0.06282204,78.27137,145.03568,20161215,0.0
208,0.09774676,62.702137,165.42303,20161215,0.0
209,0.06823217,42.66188,160.46167,20161215,0.0
210,0.038971335,80.02259,141.28885,20161215,0.0
211,0.053430215,63.631954,168.1258,20161215,0.0
212,0.047284704,90.94702,106.15274,20161215,0.0
213,0.08305052,59.697426,101.30861,20161215,0.0
214,0.03789449,163.8611,27.747438,20161215,0.0
215,0.06008241,0.0,33.96432,20161215,0.0
216,0.07265653,55.575893,52.094025,20161215,0.0
217,-0.029414779,38.22438,293.3615,20161215,0.0
218,-0.025821501,37.547558,298.29196,20161215,0.0
219,-0.021645376,36.72332,302.6888,20161215,0.0
220,-0.013332303,32.172356,325.85123,20161215,0.0
221,-0.0065316246,33.682766,318.6653,20161215,0.0
222,-0.0112030925,38.169025,284.90195,20161215,0.0
223,-0.010983162,37.679398,290.42606,20161215,0.0
224,-0.054864552,161.12834,120.6873,20161215,0.0
225,-0.018053835,166.58748,107.98828,20161215,0.0
226,-0.06533237,166.26495,94.123215,20161215,0.0
227,-0.1120527,166.12007,101.13417,20161215,0.0
228,-0.082612395,168.38971,90.48001,20161215,0.0
229,-0.10808108,166.08174,106.107376,20161215,0.0
230,-0.028347809,158.87598,113.16819,20161215,0.0
231,-0.00942658,159.91656,118.6923,20161215,0.0
232,-0.07065809,162.18723,122.95775,20161215,0.0
233,-0.025835136,166.83202,108.928734,20161215,0.0
234,0.47043997,3.7818542,18.770071,20161215,0.0
235,0.4547995,21.229713,51.202465,20161215,0.0
236,0.5655798,14.958636,28.602385,20161215,0.0
237,0.42911068,27.209007,18.016422,20161215,0.0
238,0.5649172,7.181636,4.583657,20161215,0.0
239,0.57740176,13.405699,34.24059,20161215,0.0
240,0.5530337,5.9239063,13.475518,20161215,0.0
241,0.45376813,24.120983,47.602013,20161215,0.0
242,0.4851516,17.651411,39.332397,20161215,0.0
243,0.47580764,50.954426,33.812798,20161215,0.0
244,0.47530317,2.9231062,10.264614,20161215,0.0
245,0.48832902,4.63441,4.118258,20161215,0.0
246,0.4264827,55.57493,237.97745,20161215,0.0
247,0.43710792,57.78109,227.56645,20161215,0.0
