,lChirpCorr_distance,lChirpCorr_ExpDate,lChirp_corr,lChirpCorr_Angle,type
121,27.099304,20170615,0.8386686,149.69107,0.0
122,11.6374,20170615,0.73164845,164.75255,0.0
123,51.20313,20170615,0.7359312,171.00299,0.0
124,61.889606,20170615,0.7643287,171.78137,0.0
125,65.10051,20170615,0.81059265,172.66805,0.0
126,59.068253,20170615,0.7558413,171.8473,0.0
127,312.16724,20170615,0.68658227,52.927074,0.0
128,301.12112,20170615,0.6203749,52.33879,0.0
129,277.14905,20170615,0.6242701,52.79303,0.0
130,267.0712,20170615,0.64466923,52.08389,0.0
131,271.14673,20170615,0.5578385,52.18733,0.0
132,305.68982,20170615,0.7004082,52.719105,0.0
133,158.30116,20170615,0.7784387,34.411022,0.0
134,147.56424,20170615,0.7590092,32.486927,0.0
135,123.94999,20170615,0.77645415,38.06033,0.0
136,115.994064,20170615,0.76122236,38.54953,0.0
137,129.4741,20170615,0.6996483,38.55586,0.0
138,174.91771,20170615,0.72640353,37.688404,0.0
139,162.37398,20170615,0.662096,32.05711,0.0
140,132.28049,20170615,0.6743193,39.285725,0.0
141,170.21994,20170615,0.6232919,35.9937,0.0
142,195.8014,20170615,0.5979423,38.30794,0.0
143,168.7491,20170615,0.64852566,49.726185,0.0
144,209.48132,20170615,0.57246935,47.971233,0.0
145,174.80914,20170615,0.6339248,48.271336,0.0
146,179.92874,20170615,0.5930915,47.112473,0.0
147,203.5249,20170615,0.52270234,48.796875,0.0
148,138.39099,20170615,0.4834194,64.781654,0.0
149,105.77219,20170615,0.573524,33.99356,0.0
150,95.522514,20170615,0.5760586,25.657747,0.0
151,133.22095,20170615,0.5986824,38.283348,0.0
152,144.2817,20170615,0.5643591,35.090267,0.0
153,107.45347,20170615,0.5238268,18.523035,0.0
154,103.145256,20170615,0.4923559,18.955933,0.0
155,128.3588,20170615,0.5529022,25.652561,0.0
156,120.087326,20170615,0.6043772,23.176067,0.0
157,2.270452,20170615,0.8311493,5.311311,0.0
158,15.123756,20170615,0.8214086,153.03694,0.0
159,28.039757,20170615,0.8549064,151.5758,0.0
160,61.614155,20170615,0.8536024,174.28171,0.0
161,202.01024,20170615,0.7927681,15.001919,0.0
162,18.724209,20170615,0.8055773,150.48015,0.0
163,74.3174,20170615,0.8606393,160.3122,0.0
164,31.526114,20170615,0.857034,155.60654,0.0
165,16.064207,20170615,0.7426534,158.02184,0.0
166,55.629936,20170615,0.74926007,178.98004,0.0
167,66.316414,20170615,0.79407287,175.46428,0.0
168,69.52732,20170615,0.8318245,176.36755,0.0
169,63.49506,20170615,0.7738581,174.78542,0.0
170,307.74042,20170615,0.70451736,55.49353,0.0
171,296.69434,20170615,0.6445217,54.912342,0.0
172,272.72223,20170615,0.6600086,55.339386,0.0
173,262.64438,20170615,0.6755771,54.638313,0.0
174,266.7199,20170615,0.5936433,54.743572,0.0
175,301.26303,20170615,0.72211957,55.29322,0.0
176,153.87436,20170615,0.8000915,36.341866,0.0
177,143.13744,20170615,0.79319537,34.964615,0.0
178,119.52318,20170615,0.80035836,40.147713,0.0
179,111.56725,20170615,0.7773935,40.515194,0.0
180,125.047295,20170615,0.7122295,40.772224,0.0
181,170.49089,20170615,0.73679227,40.21118,0.0
182,157.94716,20170615,0.699005,34.31581,0.0
183,127.85368,20170615,0.69306463,41.568073,0.0
184,165.79314,20170615,0.6517653,38.526127,0.0
185,191.3746,20170615,0.6286996,40.8932,0.0
186,164.32228,20170615,0.6738943,51.37427,0.0
187,205.05452,20170615,0.5909667,49.929176,0.0
188,170.38234,20170615,0.6624386,49.981705,0.0
189,175.50194,20170615,0.61881983,48.86559,0.0
190,199.09808,20170615,0.542363,50.731915,0.0
191,133.96417,20170615,0.49197105,66.57929,0.0
192,101.345375,20170615,0.632088,35.728584,0.0
193,91.0957,20170615,0.6067443,27.182692,0.0
194,128.79414,20170615,0.6360376,40.572655,0.0
195,139.85489,20170615,0.6011263,37.516865,0.0
196,103.026665,20170615,0.54959077,19.891851,0.0
197,98.71845,20170615,0.5288855,20.232811,0.0
198,123.931984,20170615,0.57042855,25.866331,0.0
199,115.660515,20170615,0.65296245,23.649899,0.0
200,17.394209,20170615,0.7544402,157.51546,0.0
201,30.31021,20170615,0.7787455,156.22473,0.0
202,63.88461,20170615,0.79246795,172.62675,0.0
203,199.73979,20170615,0.7127441,15.734353,0.0
204,20.99466,20170615,0.7447693,155.52835,0.0
205,76.58785,20170615,0.8007026,163.6608,0.0
206,33.796566,20170615,0.77572346,160.4127,0.0
207,18.33466,20170615,0.6963764,152.71053,0.0
208,57.90039,20170615,0.69188184,175.12224,0.0
209,68.58687,20170615,0.7340807,173.57468,0.0
210,71.797775,20170615,0.77806324,173.3269,0.0
211,65.76551,20170615,0.6976148,173.03917,0.0
212,305.46997,20170615,0.6814108,56.118244,0.0
213,294.4239,20170615,0.5906144,55.5416,0.0
214,270.45178,20170615,0.6236908,55.952,0.0
215,260.37393,20170615,0.62279165,55.255775,0.0
216,264.44946,20170615,0.53103447,55.362114,0.0
217,298.99258,20170615,0.67787147,55.922802,0.0
218,151.6039,20170615,0.7500178,36.74561,0.0
219,140.86699,20170615,0.7425425,35.544556,0.0
220,117.25273,20170615,0.75187737,40.562626,0.0
221,109.29681,20170615,0.7283369,40.88518,0.0
222,122.77685,20170615,0.6735033,41.23655,0.0
223,168.22044,20170615,0.6968132,40.812912,0.0
224,155.67671,20170615,0.6482161,34.80021,0.0
225,125.58324,20170615,0.6345624,42.058765,0.0
226,163.52267,20170615,0.62191164,39.13348,0.0
227,189.10414,20170615,0.588125,41.53172,0.0
228,162.05183,20170615,0.6506135,51.79048,0.0
229,202.78406,20170615,0.5681216,50.477657,0.0
230,168.1119,20170615,0.6206054,50.423405,0.0
231,173.23149,20170615,0.5984914,49.32511,0.0
232,196.82764,20170615,0.5215891,51.269684,0.0
233,131.69373,20170615,0.48900968,66.91788,0.0
234,99.07493,20170615,0.58685005,36.02158,0.0
235,88.82526,20170615,0.5872835,27.416311,0.0
236,126.52369,20170615,0.6056883,41.066612,0.0
237,137.58443,20170615,0.55188185,38.07167,0.0
238,100.75621,20170615,0.52871394,20.091816,0.0
239,96.448,20170615,0.47622007,20.403559,0.0
240,121.66153,20170615,0.5452355,27.745436,0.0
241,113.39006,20170615,0.62435806,25.534437,0.0
242,12.916,20170615,0.809263,131.21472,0.0
243,56.436825,20170615,0.80285794,24.049295,0.0
244,217.134,20170615,0.7328726,8.30407,0.0
245,3.6004522,20170615,0.7709768,4.037708,0.0
246,59.193645,20170615,0.8041929,157.60832,0.0
247,16.402357,20170615,0.80161005,153.83827,0.0
248,10.886878,20170615,0.71838355,47.241337,0.0
249,50.452606,20170615,0.70841503,26.086304,0.0
250,61.139088,20170615,0.7434892,24.384087,0.0
251,64.34999,20170615,0.78604305,25.633263,0.0
252,58.31773,20170615,0.71049285,24.185099,0.0
253,322.86417,20170615,0.6618248,49.349567,0.0
254,311.81808,20170615,0.5685453,48.728592,0.0
255,287.84598,20170615,0.60828394,49.308197,0.0
256,277.76816,20170615,0.6264739,48.5649,0.0
257,281.84366,20170615,0.5376657,48.659702,0.0
258,316.38678,20170615,0.6681603,49.105083,0.0
259,168.99811,20170615,0.74003196,32.443798,0.0
260,158.26118,20170615,0.73026067,29.395872,0.0
261,134.64694,20170615,0.7385109,36.170254,0.0
262,126.69101,20170615,0.7215343,36.97742,0.0
263,140.17105,20170615,0.6526081,36.293842,0.0
264,185.61465,20170615,0.7037866,34.370716,0.0
265,173.07092,20170615,0.64372563,29.7367,0.0
266,142.97745,20170615,0.61512315,36.817173,0.0
267,180.91689,20170615,0.6333376,32.6437,0.0
268,206.49835,20170615,0.5862728,34.686207,0.0
269,179.44604,20170615,0.6236488,47.937634,0.0
270,220.17827,20170615,0.55427265,45.30625,0.0
271,185.50609,20170615,0.611038,46.326305,0.0
272,190.6257,20170615,0.5811312,45.057293,0.0
273,214.22185,20170615,0.51643,46.202515,0.0
274,149.08794,20170615,0.47542295,62.977943,0.0
275,116.46913,20170615,0.55994123,33.04911,0.0
276,106.21946,20170615,0.5509488,25.359827,0.0
277,143.9179,20170615,0.5721971,35.801685,0.0
278,154.97864,20170615,0.5587715,32.172924,0.0
279,118.15042,20170615,0.49698222,18.814995,0.0
280,113.84221,20170615,0.4657158,19.417965,0.0
281,139.05574,20170615,0.5249408,22.525581,0.0
282,130.78427,20170615,0.5898098,19.773823,0.0
283,69.35283,20170615,0.82680637,25.768187,0.0
284,230.05,20170615,0.76225877,6.134857,0.0
285,9.315548,20170615,0.78824043,135.12184,0.0
286,46.277645,20170615,0.83690673,169.09175,0.0
287,3.4863563,20170615,0.8375197,2.3907292,0.0
288,23.80288,20170615,0.73287916,49.005413,0.0
289,63.368607,20170615,0.7301511,27.57746,0.0
290,74.055084,20170615,0.7569125,26.045847,0.0
291,77.26599,20170615,0.8155231,27.272617,0.0
292,71.233734,20170615,0.7652548,25.880045,0.0
293,335.78018,20170615,0.6841983,48.67985,0.0
294,324.7341,20170615,0.6115437,48.032726,0.0
295,300.762,20170615,0.6309687,48.717793,0.0
296,290.68414,20170615,0.65975904,47.948444,0.0
297,294.75967,20170615,0.5550687,48.03551,0.0
298,329.3028,20170615,0.7040964,48.40446,0.0
299,181.91411,20170615,0.7733491,32.832672,0.0
300,171.17719,20170615,0.75228035,29.247162,0.0
301,147.56294,20170615,0.76772505,36.784237,0.0
302,139.60701,20170615,0.7466805,37.77304,0.0
303,153.08705,20170615,0.6824333,36.67367,0.0
304,198.53065,20170615,0.7191936,33.997726,0.0
305,185.98692,20170615,0.67988867,30.13609,0.0
306,155.89345,20170615,0.6633463,37.0565,0.0
307,193.83289,20170615,0.65283877,32.257027,0.0
308,219.41435,20170615,0.6105593,34.049236,0.0
309,192.36205,20170615,0.66757864,47.802567,0.0
310,233.09427,20170615,0.58421546,44.482395,0.0
311,198.42209,20170615,0.65775627,46.080555,0.0
312,203.5417,20170615,0.60724175,44.732716,0.0
313,227.13785,20170615,0.53534913,45.43543,0.0
314,162.00394,20170615,0.49202505,63.312412,0.0
315,129.38513,20170615,0.60326,34.21591,0.0
316,119.13546,20170615,0.58828235,26.91197,0.0
317,156.8339,20170615,0.62002903,36.03963,0.0
318,167.89464,20170615,0.5873771,32.130974,0.0
319,131.06642,20170615,0.55890995,20.700878,0.0
320,126.75821,20170615,0.51478,21.356998,0.0
321,151.97174,20170615,0.54893905,17.600597,0.0
322,143.70027,20170615,0.62244517,14.82792,0.0
323,263.6244,20170615,0.761184,7.0892105,0.0
324,60.037277,20170615,0.77663934,27.776863,0.0
325,115.63047,20170615,0.83259934,15.651594,0.0
326,72.83918,20170615,0.8205646,22.192974,0.0
327,45.54995,20170615,0.72649556,159.41832,0.0
328,5.9842186,20170615,0.7469122,0.0,0.0
329,4.70226,20170615,0.7730723,2.1430695,0.0
330,7.9131646,20170615,0.8108741,1.7644657,0.0
331,1.8809041,20170615,0.7503874,0.7801131,0.0
332,369.35458,20170615,0.6701563,36.550247,0.0
333,358.30847,20170615,0.62342066,35.843903,0.0
334,334.3364,20170615,0.6336385,36.808743,0.0
335,324.25854,20170615,0.632195,35.980206,0.0
336,328.33408,20170615,0.53865576,36.04371,0.0
337,362.87717,20170615,0.6858946,36.196556,0.0
338,215.48851,20170615,0.7583582,26.432673,0.0
339,204.75159,20170615,0.75467473,19.89196,0.0
340,181.13733,20170615,0.76146126,30.251076,0.0
