,cell_id,rec_id,roi_id,cell_type,angles,dendritic_distance_to_soma,euclidean_distance_to_density_center
0,20161028_1,0,0,0,12.168058919359812,0,28.253028231003245
1,20161028_1,1,1,0,57.242366593736286,46.63996726166947,10.239495002838181
2,20161028_1,1,2,0,26.400604951704075,34.98446195578051,10.437047176920442
3,20161028_1,1,3,0,31.982507996645158,43.31496715438108,10.32209280886583
4,20161028_1,1,4,0,53.496871041271866,69.87514348847546,10.754420950070584
5,20161028_1,1,5,0,37.61044241798646,56.582474320376434,4.701533386515979
6,20161028_1,1,6,0,154.40421606350927,55.9213932735205,6.756326165848039
7,20161028_1,1,7,0,51.612557251150946,47.880526652814154,2.5883057117968935
8,20161028_1,1,8,0,98.03712548375077,74.19832450542981,14.192356118510354
9,20161028_1,1,9,0,103.23536932941187,80.69068644396725,18.98286102466186
10,20161028_1,1,10,0,14.207114188911751,39.84357900670953,10.525078214005438
11,20161028_1,1,11,0,176.84360442231298,59.132297415083514,6.4362214663019275
12,20161028_1,1,12,0,169.98305502306783,50.90541941828164,8.594830542441304
13,20161028_1,1,13,0,68.5948384597024,91.54899023804342,27.794363640436107
14,20161028_1,1,14,0,169.51032060775086,69.61465948236692,10.484285826220816
15,20161028_1,1,15,0,74.12187409735877,65.97144650862789,8.038286047758993
16,20161028_1,1,16,0,82.06798646018377,84.60935144557233,22.180884936520687
17,20161028_1,1,17,0,43.72299517468402,87.86301642571993,24.985978124906122
18,20161028_1,1,18,0,109.16374444064644,41.88133990966698,6.862920865809419
19,20161028_1,1,19,0,46.9844545262327,74.18335648367217,14.335162332935504
20,20161028_1,1,20,0,159.44053350988284,77.00471263164368,16.20293549380876
21,20161028_1,1,21,0,50.24058243022692,94.09489435814875,30.17955598109335
22,20161028_1,1,22,0,77.85845123724496,61.273685519839745,7.542238303415566
23,20161028_1,2,1,0,24.442245760671106,140.3277815810672,77.23162926748451
24,20161028_1,2,2,0,10.949519332908167,109.06534500035363,53.45890494070956
25,20161028_1,2,3,0,30.23541570660687,103.8594407944176,49.15977443417936
26,20161028_1,2,4,0,7.268262376797467,129.61272832450211,68.69802164123244
27,20161028_1,2,5,0,11.498794822194021,99.72305262528837,46.08297134303302
28,20161028_1,2,6,0,18.896209107065662,120.50312713871853,61.44663433524697
30,20161028_1,2,8,0,20.264427023721787,133.92094131969878,71.95268382974841
31,20161028_1,2,9,0,17.53505739580428,95.86211648402531,42.8706463829779
32,20161028_1,2,10,0,2.1075992188639376,126.95272823867143,66.04309296118078
33,20161028_1,2,11,0,25.871720679138328,112.55170116978283,55.776266934621965
34,20161028_1,2,12,0,7.415907528870865,116.19491414352184,58.25788395705522
35,20161028_1,2,13,0,19.801649675609287,127.61772826012904,66.9252431935303
37,20161028_1,2,15,0,8.723984806623637,142.8587176794149,79.22626379105958
38,20161028_1,3,1,0,29.483298774302497,73.3641686351148,55.13384082196973
39,20161028_1,3,2,0,35.032785241432,82.08422182730682,62.27556266359256
40,20161028_1,3,3,0,51.50270132352219,43.96766813129128,33.963060903487644
41,20161028_1,3,4,0,1.8248359688623574,79.32059453967744,54.52027436038821
42,20161028_1,3,5,0,12.820612236989476,51.876333261642564,39.93650060148367
43,20161028_1,3,6,0,4.895016628714184,86.11698279463732,65.00896531207637
44,20161028_1,3,7,0,13.072640120902758,90.8147437834255,68.93065455519123
45,20161028_1,3,8,0,23.350684129181072,55.75223742466319,42.092819063917936
46,20161028_1,3,9,0,5.778635818011501,46.35221618925587,38.30909136803324
47,20161028_1,3,10,0,3.0485547895608254,66.912758436957,59.30193436914886
48,20161028_1,3,11,0,5.893332291088627,40.481311961862154,33.45603911544399
49,20161028_1,3,12,0,18.004110860806634,58.68768953836006,44.13022965211997
50,20161028_1,3,13,0,20.583579785326794,42.36221606050978,34.391595545471446
51,20161028_1,3,14,0,38.61673253247594,66.46729068122829,49.49395323906263
52,20161028_1,3,15,0,107.15308335559658,69.4455036335096,51.867544925682836
53,20161028_1,3,16,0,56.88770391552914,43.69221610342521,36.30576486382276
